**Laura Lattuada;Nel 1981 l'attrice è protagonista dello sceneggiato televisivo "Storia di Anna" dove interpreta...;Una studentessa diligente;Una tossicodipendente impenitente;Una casalinga di pessima qualità;2
**Clint Eastwood;Attore, regista, produttore cinematografico è stato anche politico con la carica di...;Governatore;Sindaco;Senatore;2
**Locuzioni;Dare l'aut aut significa...;Obbligare a scegliere tra due cose;Invitare ad uscire;Annunciare;1
Occupazione;Nel mondo del lavoro indica...;Il numero dei lavoratori;La quantità del lavoro svolto;Le mansioni dei lavoratori;1
Odissea;Autore del poema è...;Tacito;Ovidio;Omero;3
Ofelia;Nell'Amleto di Shakespeare è...;La regina;Una cortigiana;La fidanzata di Amleto;3
Ordine di Malta;Ordine religioso cavalleresco con finalità di...;Assistenza;Conversione al cattolicesimo;Insegnamento;1
Orecchio musicale;Avere orecchio musicale significa...;Avere attitudine per la musica;Avere gusto musicale;Essere musicofilo;1
Orzare;In marina significa...;Abbassare le vele;Girare la prua controvento;Girare il timone a destra;2
Orzo;Cereale con contenuto di fibre...;Alto;Medio;Basso;1
Palermo;Nella sua provincia rientra...;L'isola di Favignana;L'isola di Panarea;L'isola delle Femmine;3
Pallacanestro;Quanti minuti dura una partita?;30;40;60;2
Pallanuoto;Quanti sono i giocatori in acqua?;5;6;7;3
Pallavolo;Quanti sono i giocatori in campo?;4;6;8;2
Pantografo;È uno strumento per...;Dipingere superfici;Ingrandire/ridurre disegni;Scrivere;2
Paola Barale;Quale attività non svolge?;Scrittrice;Conduttrice televisiva;Attrice;1
Paolo Conte;Il suo strumento musicale è …;Il clarinetto;Il pianoforte;Il sassofono;2
Parlamento;Organo costituzionale di...;Democrazia diretta;Democrazia rappresentativa;Democrazia delegata;2
Parole crociate;In che anno sono nate?;1687;1890;1902;2
Patto di sindacato;Si tratta di un...;Accordo tra sindacati;Accordo tra azionisti;Accordo tra lavoratori;2
Peggio che andar di notte;Significa...;Rimanere al buio;Viaggiare di notte;Peggiorare le cose;3
Peppino di Capri;Il suo vero nome è...;Giuseppe Faiella;Giuseppe Esposito;Francesco Imposimato;1
Pera;Quale dei seguenti non è un tipo di pera?;Monte Negro;Coscia;Decana;1
Personal Computer;E’ nato nel …;1981;1986;1989;1
Perugino;Pittore umbro la cui opera più famosa, un affresco della Cappella Sistina, è...;Consegna delle chiavi;Andata al Calvario;San Girolamo nel deserto;1
Peschereccio;Barca da pesca detta anche...;Motonave;Paranza;Gozzo;2
Pianoforte;Il totale dei suoi tasti, bianchi e neri, è quasi sempre...;85 tasti;88 tasti;92 tasti;2
Piazza Navona;Si trova a....;Milano;Firenze;Roma;3
Pier Paolo Pasolini;Lo scrittore, regista e poeta nacque a...;Roma;Milano;Bologna;3
Piero della Francesca;Era un...;Pittore;Medico;Scrittore;1
Pino;Quale delle seguenti varietà di pino è presente nella zona mediterranea?;Pino silvestre;Pino cembro;Pino domestico;3
Pinturicchio;Soprannome di Bernardino di Betto Betti che significa;Scavezzacollo;Macellaio;Piccolo pittore;3
Platone;È detto...;Filosofo dell'amore;Filosofo della ragione;Filosofo della politica;1
Poker;"Avere una faccia da poker" significa avere un'espressione...;Seria;Ilare;Neutra;3
Politica;È l'arte di...;Ragionare;Accordarsi;Governare;3
Porcellana;È stata inventata in...;Austria;Cina;Germania;2
Posillipo;Il suo nome antico era...;Pausilipon;Puteolis;Herculaneum;1
Posta elettronica;Sistema di comunicazione...;Sincrono;Asincrono;Real time;2
Premio "David di Donatello";È un...;Premio letterario;Premio cinematografico;Premio musicale;2
Premio Nobel;Il creatore del premio Alfred Bernhard Nobel era un...;Fisico;Chimico;Astronomo;2
Premio Pulitzer;È un premio giornalistico...;Inglese;Statunitense;Tedesco;2
Premio Strega;Premio letterario istituito da Guido Alberti e dalla scrittrice...;Maria Bellonci;Natalia Aspesi;Dacia Maraini;1
Premio Tenco;È un premio per...;Attori;Musicisti;Scrittori;2
Prestigiatore;Quale dei seguenti non è un prestigiatore?;Vincent Cassel;Tony Binarelli;Harry Houdini;1
Prima alla Scala;Avviene ogni anno il...;1 dicembre;7 dicembre;24 dicembre;2
Procida;Rispetto all'isola di Ischia si trova a...;Nord;Sud;Est;3
Programmazione;Programmare un computer significa predisporre un elenco di...;Indicazioni;Requisiti;Istruzioni;3
Proxima Centauri;È...;Una costellazione;Una stella;Una galassia;2
Pub;È l'abbreviazione di...;Public bar;Public shop;Public house;3
Quasar;È...;Una costellazione;Una galassia;Una stella;2
Radiante;È una unità di misura di...;Segmenti;Angoli;Circonferenze;2
Raffaella Carrà;E’ nata a …;Forlì;Bologna;Zocca Modenese;2
Rai;Ha iniziato le sue trasmissioni nel...;1954;1958;1959;1
Ramato;È sinonimo di...;Oro rosso;Verderame;Aspartame;2
Ramino;È...;Una diramazione di un fiume;Un gioco di carte;Un piccolo ramo;2
Rammarico;Colui che si rammarica...;Si dispiace;Si arrabbia;Si vergogna;1
Rancore;È sinonimo di...;Antipatia;Ostilità;Odio;3
Rebus;Gioco enigmistico che nasconde...;Un disegno;Un numero;Una frase;3
Regno Sabaudo;Il regno Sabaudo comprendeva...;La sola Sardegna;Sardegna e Liguria;Sardegna Liguria e Piemonte;3
Renna;Si ciba di...;Insetti;Muschi;Castori;2
Renne di Babbo Natale;Quale di esse è detta "Renna dal naso rosso"?;Stella;Freccia;Rodolfo;3
Ribes;Il ribes rosso ha un contenuto di fibre...;Povero;Medio;Ricco;3
Rigo musicale;È composto da...;5 linee;6 linee;7 linee;3
Rinascimento;Si proponeva la rinascita del mondo classico e nacque in...;Francia;Austria;Italia;3
Riserva Indiana;La riserva più grande è la Riserva Navajo che si estende per circa...;51.000 km quadri;63.000 km quadri;71.000 km quadri;3
Risorgimento;È talvolta detto...;Rivoluzione Italiana;Rinascita italiana;Unificazione d'Italia;1
Robert De Niro;Quale delle seguenti affermazioni è errata?;Ha la cittadinanza statunitense;Ha la cittadinanza italiana;Ha la cittadinanza inglese;3
Robotica;È una disciplina dell'...;Ingegneria;Fisica;Matematica;1
Rococò;Stile ornamentale sviluppatosi in...;Inghilterra;Francia;Italia;2
Roma;È detta...;Città antica;Città eterna;Città moderna;2
Rondine;Quanti chilometri percorre per migrare verso paesi caldi?;Fino a 8.000;Fino a 11.000;Fino 20.000;3
Rondone;Rispetto alla rondine ha la coda...;Più corta;Più lunga;Uguale;2
Rosa dei venti;È una rappresentazione dei venti dell'...;Oceano Atlantico;Mare Mediterraneo;Oceano Pacifico;2
Saetta;Dardo, freccia, fulmine. Quale termine non è un sinonimo?;Primo;Secondo;Terzo;3
Saltare;In cucina significa...;Friggere;Lessare;Rosolare;3
Sandro Pertini;Presidente della Repubblica, iscritto al partito...;Comunista;Socialista;Democristiano;2
Sanremo;Si trova in provincia di...;La Spezia;Genova;Imperia;3
Sant'Elena;L'isola è un possedimento...;Francese;Britannico;Spagnolo;2
Santa Claus;È il nome che gli americani danno a...;Babbo Natale;Una delle Renne;Alla slitta;1
Sartoria;Quale dei seguenti non è un punto di cucitura?;Punto mosca;Punto invisibile;Punto fisso;3
Scalmo;Nelle imbarcazioni è...;Parte del timone;Punto di appoggio del remo;Bordo della vela;2
Sciarada;È...;Uno scioglilingua;Un gioco enigmistico;Una sciattona;2
Scogliere di Dover;Si trovano in...;Francia;Inghilterra;Olanda;2
Scommesse;Il termine "bookmaker" in italiano corrisponde a...;Scommettitore;Allibratore;Quotista;2
Scottona;È...;Una marmotta;Una mucca;Un attrezzo da cucina;2
Sedia;Dove sono state rinvenute le sedie più antiche?;Nelle piramidi;Nei resti di Troia;Nei resti di Pompei;1
Seme;Per le piante ha la funzione di...;Crescita;Produzione frutti;Riproduzione;3
Seneca;Il nome completo del filosofo romano era...;Lucio Caio Seneca;Cesare Caio Seneca;Lucio Anneo Seneca;3
Sergio Leone;Inquadratura caratteristica di alcuni film riguardava...;Gli occhi soltanto;L'intero volto;Il collo e il volto;1
Sergio Mattarella;Il Presidente della Repubblica ha insegnato all'Università di Palermo...;Diritto penale;Diritto civile;Diritto parlamentare;3
Sestante;Strumento nautico utilizzato per calcolare...;La distanza;La posizione;La velocità;2
Sienna;Il colore sienna deriva il suo nome da...;La pianta di senna;La città di Siena;Il fiume francese Senna;2
Signoria;È sinonimo di...;Signorilità;Dominio;Ricchezza;2
Silicon Valley;"La valle del silicio", in California, non ospita la sede di...;Google;Apple;Microsoft;3
Sindacato;Organizzazione per tutelare i diritti dei lavoratori presso...;Il datore di lavoro;Il governo;Entrambi;3
Skipper;Nelle imbarcazioni a vela da regata...;Manovra il timone;Scioglie le vele;Dirige le manovre;3
Slide;Un suo sinonimo è...;Cartello;Articolo;Elenco;1
Socrate;E’ stato un …;Filosofo dell’antica Grecia;Calciatore brasiliano;Medico chirurgo;1
Sofia Loren;Ha vinto l’Oscar per…;La ciociara;Ieri, oggi e domani;Matrimonio all’italiana;1
Soufflé;Tecnica di cottura dei cibi che così vengono...;Insaporiti;Gonfiati;Amalgamati;2
Spaghetti;È il tipo di pasta più consumato...;In Italia;Nel mondo;Veri entrambi i primati;3
Sport;Il significato del termine "sport" è...;Agonismo;Esercizio;Divertimento;3
Stile Liberty;Art nouveau, Modern style, Modernism. Sono tutti sinonimi?;Solo uno;Solo due;Tutti;3
Storia;Napoleone Bonaparte è nato in...;Francia;Italia;Inghilterra;1
Subaffitto;È una pratica...;Lecita;Illecita;Sconsigliata;1
Sudoku;Si tratta di un...;Arte marziale;Liquore;Gioco enigmistico;3
Supereroi;Superman vola più veloce...;Del suono;Della luce;Del fulmine;2
Tagliola;È...;Un tipo di pasta;Una trappola;Una taglierina;2
Tagliolini;Sono...;Una varietà di pasta;Piccole lame metalliche;Piccole trappole;1
Tecnologia 5G;La sigla 5G si riferisce agli standard della telefonia mobile e significa...;Quinta generazione;5 GigaHertz;5 Groups;1
Tela di Penelope;Espressione usata per indicare...;Opera tessile;Opera interminabile;Opera di pregio;2
Tempesta;È caratterizzata da...;Grandine;Vento;Pioggia;2
Testamento;È detto atto delle...;Ultime volontà;Ultime decisioni;Ultime disposizioni;1
Tex Willer;Come si chiamava la moglie indiana...?;Lilian;Lilith;Molly;2
That's all Folk!;Quale personaggio Looney Tunes pronuncia la frase "È tutto, gente!"?;Daffy Duck;Porky Pig;Taddeo;2
Thomas Edison;Oltre alla lampadina a incandescenza ha inventato …;Il parafulmine;La cinepresa;La pila;2
Tiberio;L'imperatore Tiberio risiedeva a...;Roma;Capri;Costantinopoli;2
Tignoso;Significa...;Avaro;Che tinge;Che beve;1
Titty;Il famoso canarino dei cartoni è...;Maschio;Femmina;Non definito;1
Tom Cruise;È nato a...;New York;Syracuse, Stato di New York;Boston;2
Tomaia, conchiglia, battistrada;Quanti di questi termini fanno riferimento alla scarpa?;Uno;Due;Tre;3
Tramoggia;È un...;Macinino;Contenitore;Mietitrice;2
Trapper;È un cacciatore di...;Bisonti;Anatre;Pellicce;3
Trappisti;Il motto dei frati trappisti era...;Santifica le feste;Ama il prossimo;Ricordati che devi morire;3
Trapunta;È...;Un attrezzo;Un lenzuolo;Una coperta;3
Traversone;Nel gioco del calcio è...;Un tiro nell'altra metà campo;Un tiro dal bordo verso l'area di rigore;Un tiro in porta;2
Trinchetto;Nei bastimenti è...;Una vela;Una corda;Un albero;3
Trucco;Espediente, sotterfugio, raggiro.;Sono tutti sinonimi;Nessuno è sinonimo;Solo uno è sinonimo;1
Tuffo;Come è il tuffo carpiato?;All'indietro;A corpo disteso;A corpo piegato ad angolo retto;3
Tuono;È un...;Suono;Onda di pressione;Esplosione;2
Uccelli;Quante specie esistono?;Circa 8.000;Circa 10.000;Circa 20.000;2
Ulna;È un osso del...;Palmo;Braccio;Gamba;2
Umberto Eco;Quale di questi romanzi non ha scritto?;Il nome della rosa;Il giardino dei Finzi-Contini;Il pendolo di Foucault;2
Unghia;Gli animali dotati di unghie sono detti...;Unghiati;Unghici;Ungulati;3
Unione Sovietica;Quanti erano gli stati dell'Unione?;10;12;15;3
Ustica;L'isola è situata di fronte a...;Catania;Palermo;Messina;2
Vapore;"Padrone del vapore" è colui che...;Guida una locomotiva;Detiene il potere;È povero;2
Vela;La vela latina è di taglio...;Quadrato;Triangolare;Esagonale;2
Veliero Amerigo Vespucci;È stato costruito a …;Genova;Trieste;Castellammare di Stabia;3
Vento;È generato dalla...;Rotazione terrestre;Pressione atmosferica;Temperatura;2
Veterinario;È un medico che cura...;I bambini;Gli animali;Gli adulti;2
Vettore;In matematica il vettore è...;Un angolo;Un numero;Un segmento;3
Via Lattea;È...;Una stella;Una costellazione;Una galassia;3
Videogiochi;Cosa significa videogioco FPS?;Frame per second;First person shooter;File per second;2
Vincent Van Gogh;È stato un pittore...;Francese;Olandese;Belga;2
Vini Beneventani;Quale dei seguenti non è un vino beneventano?;Verdicchio;Aglianico;Taburno;1
Vino;Maestri e depositari delle tecniche enologiche furono...;I romani;Gli egizi;I greci;2
Vulcano;L'isola delle Eolie è appartenente al comune di...;Messina;Lipari;Palermo;2
Windsurf;Quale dei seguenti non è un componente del windsurf?;Albero;Boma;Timone;3
Zafferano;È...;Un odore;Una spezia;Un'automobile;2
Zuckerberg;Il suo nome è…;Jeff;Mark;Bill;2
Locuzioni;Dare l'aut aut significa...;Obbligare a scegliere tra due cose;Invitare ad uscire;Annunciare;1
